2023-06-05 11:25:21.824 676:pos-tag                DEBUG  main message
2023-06-05 11:25:21.824 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 11:25:22.676 702:pos-tag                INFO   Load Dataset
2023-06-05 11:25:22.678 706:pos-tag                INFO   Num of Class 233
2023-06-05 11:25:26.531 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 11:25:26.531 743:pos-tag                INFO   Random Initialize the encoder
2023-06-05 11:25:29.525 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 11:25:29.526 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=5, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/random/saved_unixcodermodels/3/layer_5', posratio=0.5, seed=12, token_config='microsoft/unixcoder-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2023-06-05 11:25:29.527 185:pos-tag                INFO   save steps 2
2023-06-05 11:25:32.336 224:pos-tag                INFO   ***** Running training *****
2023-06-05 11:25:32.337 225:pos-tag                INFO     Num examples = 880
2023-06-05 11:25:32.337 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 11:25:32.337 227:pos-tag                INFO     Instantaneous batch size per GPU = 32
2023-06-05 11:25:32.337 231:pos-tag                INFO     Total train batch size = 32
2023-06-05 11:25:32.337 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 11:25:32.337 238:pos-tag                INFO     Total optimization steps = 140
2023-06-05 11:25:34.280 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 11:25:34.281 359:pos-tag                INFO     Num examples = 293
2023-06-05 11:25:34.281 360:pos-tag                INFO     Batch size = 32
2023-06-05 11:25:37.310 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 11:25:37.310 408:pos-tag                INFO     eval_acc = 0.0077
2023-06-05 11:25:37.310 408:pos-tag                INFO     eval_f1 = 0.0017
2023-06-05 11:25:37.311 408:pos-tag                INFO     eval_mcc = 0.0055
2023-06-05 11:25:37.311 408:pos-tag                INFO     eval_precision = 0.012
2023-06-05 11:25:37.311 408:pos-tag                INFO     eval_recall = 0.0037
2023-06-05 11:25:37.311 300:pos-tag                INFO     ********************
2023-06-05 11:25:37.311 301:pos-tag                INFO     Best f1:0.0017
2023-06-05 11:25:37.312 302:pos-tag                INFO     ********************
2023-06-05 11:25:39.195 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/3/layer_5/checkpoint-best-f1/model.bin
2023-06-05 11:25:39.195 322:pos-tag                INFO     ********************
2023-06-05 11:25:39.196 323:pos-tag                INFO     Best MCC:0.0055
2023-06-05 11:25:39.196 324:pos-tag                INFO     ********************
2023-06-05 11:25:41.039 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/3/layer_5/checkpoint-best-mcc/model.bin
2023-06-05 11:25:41.620 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 11:25:41.620 359:pos-tag                INFO     Num examples = 293
2023-06-05 11:25:41.620 360:pos-tag                INFO     Batch size = 32
2023-06-05 11:25:44.115 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 11:25:44.115 408:pos-tag                INFO     eval_acc = 0.0136
2023-06-05 11:25:44.115 408:pos-tag                INFO     eval_f1 = 0.0025
2023-06-05 11:25:44.115 408:pos-tag                INFO     eval_mcc = 0.0092
2023-06-05 11:25:44.116 408:pos-tag                INFO     eval_precision = 0.0104
2023-06-05 11:25:44.116 408:pos-tag                INFO     eval_recall = 0.0043
2023-06-05 11:25:44.116 300:pos-tag                INFO     ********************
2023-06-05 11:25:44.116 301:pos-tag                INFO     Best f1:0.0025
2023-06-05 11:25:44.116 302:pos-tag                INFO     ********************
2023-06-05 11:25:46.086 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/3/layer_5/checkpoint-best-f1/model.bin
2023-06-05 11:25:46.087 322:pos-tag                INFO     ********************
2023-06-05 11:25:46.087 323:pos-tag                INFO     Best MCC:0.0092
2023-06-05 11:25:46.087 324:pos-tag                INFO     ********************
2023-06-05 11:25:47.991 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/3/layer_5/checkpoint-best-mcc/model.bin
2023-06-05 11:25:48.581 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 11:25:48.581 359:pos-tag                INFO     Num examples = 293
2023-06-05 11:25:48.582 360:pos-tag                INFO     Batch size = 32
2023-06-05 11:25:51.060 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 11:25:51.061 408:pos-tag                INFO     eval_acc = 0.0288
2023-06-05 11:25:51.061 408:pos-tag                INFO     eval_f1 = 0.0036
