2023-05-23 08:09:30.442 669:pos-tag                DEBUG  main message
2023-05-23 08:09:30.442 675:pos-tag                WARNING device: cuda, n_gpu: 1
2023-05-23 08:09:31.127 690:pos-tag                INFO   Load Dataset
2023-05-23 08:09:31.127 694:pos-tag                INFO   Num of Class 229
2023-05-23 08:09:34.046 714:pos-tag                INFO   Finishing loading Dataset
2023-05-23 08:09:34.046 718:pos-tag                INFO   Random Initialize the encoder
2023-05-23 08:09:35.368 733:pos-tag                INFO   Probimg Model Parameters 176101
2023-05-23 08:09:35.368 734:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/poj-104/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=8, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_poj/random/saved_unixcodermodels/3/layer_8', posratio=0.5, seed=808, token_config='microsoft/unixcoder-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2023-05-23 08:09:35.368 178:pos-tag                INFO   save steps 3
2023-05-23 08:09:36.431 217:pos-tag                INFO   ***** Running training *****
2023-05-23 08:09:36.431 218:pos-tag                INFO     Num examples = 1200
2023-05-23 08:09:36.431 219:pos-tag                INFO     Num Epochs = 5
2023-05-23 08:09:36.431 220:pos-tag                INFO     Instantaneous batch size per GPU = 32
2023-05-23 08:09:36.431 224:pos-tag                INFO     Total train batch size = 32
2023-05-23 08:09:36.431 228:pos-tag                INFO     Gradient Accumulation steps = 1
2023-05-23 08:09:36.431 231:pos-tag                INFO     Total optimization steps = 190
2023-05-23 08:09:38.046 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 08:09:38.046 352:pos-tag                INFO     Num examples = 400
2023-05-23 08:09:38.046 353:pos-tag                INFO     Batch size = 32
2023-05-23 08:09:43.191 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 08:09:43.191 401:pos-tag                INFO     eval_acc = 0.0351
2023-05-23 08:09:43.191 401:pos-tag                INFO     eval_f1 = 0.0017
2023-05-23 08:09:43.191 401:pos-tag                INFO     eval_mcc = 0.0179
2023-05-23 08:09:43.191 401:pos-tag                INFO     eval_precision = 0.0027
2023-05-23 08:09:43.191 401:pos-tag                INFO     eval_recall = 0.0014
2023-05-23 08:09:43.191 293:pos-tag                INFO     ********************
2023-05-23 08:09:43.191 294:pos-tag                INFO     Best f1:0.0017
2023-05-23 08:09:43.191 295:pos-tag                INFO     ********************
2023-05-23 08:09:43.878 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-f1/model.bin
2023-05-23 08:09:43.879 315:pos-tag                INFO     ********************
2023-05-23 08:09:43.879 316:pos-tag                INFO     Best MCC:0.0179
2023-05-23 08:09:43.879 317:pos-tag                INFO     ********************
2023-05-23 08:09:44.562 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-mcc/model.bin
2023-05-23 08:09:45.776 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 08:09:45.776 352:pos-tag                INFO     Num examples = 400
2023-05-23 08:09:45.776 353:pos-tag                INFO     Batch size = 32
2023-05-23 08:09:50.486 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 08:09:50.486 401:pos-tag                INFO     eval_acc = 0.0582
2023-05-23 08:09:50.486 401:pos-tag                INFO     eval_f1 = 0.0028
2023-05-23 08:09:50.486 401:pos-tag                INFO     eval_mcc = 0.02
2023-05-23 08:09:50.486 401:pos-tag                INFO     eval_precision = 0.0066
2023-05-23 08:09:50.486 401:pos-tag                INFO     eval_recall = 0.0028
2023-05-23 08:09:50.486 293:pos-tag                INFO     ********************
2023-05-23 08:09:50.486 294:pos-tag                INFO     Best f1:0.0028
2023-05-23 08:09:50.486 295:pos-tag                INFO     ********************
2023-05-23 08:09:53.563 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-f1/model.bin
2023-05-23 08:09:53.564 315:pos-tag                INFO     ********************
2023-05-23 08:09:53.564 316:pos-tag                INFO     Best MCC:0.02
2023-05-23 08:09:53.564 317:pos-tag                INFO     ********************
2023-05-23 08:09:55.122 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-mcc/model.bin
2023-05-23 08:09:56.347 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 08:09:56.347 352:pos-tag                INFO     Num examples = 400
2023-05-23 08:09:56.347 353:pos-tag                INFO     Batch size = 32
2023-05-23 08:10:01.041 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 08:10:01.041 401:pos-tag                INFO     eval_acc = 0.0966
2023-05-23 08:10:01.041 401:pos-tag                INFO     eval_f1 = 0.0054
2023-05-23 08:10:01.041 401:pos-tag                INFO     eval_mcc = 0.0234
2023-05-23 08:10:01.042 401:pos-tag                INFO     eval_precision = 0.0102
2023-05-23 08:10:01.042 401:pos-tag                INFO     eval_recall = 0.0073
2023-05-23 08:10:01.042 293:pos-tag                INFO     ********************
2023-05-23 08:10:01.042 294:pos-tag                INFO     Best f1:0.0054
2023-05-23 08:10:01.042 295:pos-tag                INFO     ********************
2023-05-23 08:10:03.922 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-f1/model.bin
2023-05-23 08:10:03.923 315:pos-tag                INFO     ********************
2023-05-23 08:10:03.923 316:pos-tag                INFO     Best MCC:0.0234
2023-05-23 08:10:03.923 317:pos-tag                INFO     ********************
2023-05-23 08:10:06.225 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-mcc/model.bin
2023-05-23 08:10:07.451 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 08:10:07.452 352:pos-tag                INFO     Num examples = 400
2023-05-23 08:10:07.452 353:pos-tag                INFO     Batch size = 32
2023-05-23 08:10:12.137 399:pos-tag                INFO   ***** Eval results *****
2023-05-23 08:10:12.137 401:pos-tag                INFO     eval_acc = 0.1155
2023-05-23 08:10:12.137 401:pos-tag                INFO     eval_f1 = 0.008
2023-05-23 08:10:12.137 401:pos-tag                INFO     eval_mcc = 0.0332
2023-05-23 08:10:12.137 401:pos-tag                INFO     eval_precision = 0.0117
2023-05-23 08:10:12.138 401:pos-tag                INFO     eval_recall = 0.0113
2023-05-23 08:10:12.138 293:pos-tag                INFO     ********************
2023-05-23 08:10:12.138 294:pos-tag                INFO     Best f1:0.008
2023-05-23 08:10:12.138 295:pos-tag                INFO     ********************
2023-05-23 08:10:13.524 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-f1/model.bin
2023-05-23 08:10:13.524 315:pos-tag                INFO     ********************
2023-05-23 08:10:13.525 316:pos-tag                INFO     Best MCC:0.0332
2023-05-23 08:10:13.525 317:pos-tag                INFO     ********************
2023-05-23 08:10:15.049 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_poj/random/saved_unixcodermodels/3/layer_8/checkpoint-best-mcc/model.bin
2023-05-23 08:10:16.265 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-23 08:10:16.265 352:pos-tag                INFO     Num examples = 400
2023-05-23 08:10:16.265 353:pos-tag                INFO     Batch size = 32
