2023-06-04 17:04:34.847 676:pos-tag                DEBUG  main message
2023-06-04 17:04:34.847 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-04 17:04:35.655 702:pos-tag                INFO   Load Dataset
2023-06-04 17:04:35.658 706:pos-tag                INFO   Num of Class 233
2023-06-04 17:04:38.750 729:pos-tag                INFO   Finishing loading Dataset
2023-06-04 17:04:38.751 743:pos-tag                INFO   Random Initialize the encoder
2023-06-04 17:04:40.956 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-04 17:04:40.956 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=12, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/random/saved_unixcodermodels/1/layer_12', posratio=0.5, seed=933, token_config='microsoft/unixcoder-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2023-06-04 17:04:40.957 185:pos-tag                INFO   save steps 2
2023-06-04 17:04:42.960 224:pos-tag                INFO   ***** Running training *****
2023-06-04 17:04:42.960 225:pos-tag                INFO     Num examples = 880
2023-06-04 17:04:42.961 226:pos-tag                INFO     Num Epochs = 5
2023-06-04 17:04:42.961 227:pos-tag                INFO     Instantaneous batch size per GPU = 32
2023-06-04 17:04:42.961 231:pos-tag                INFO     Total train batch size = 32
2023-06-04 17:04:42.961 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-04 17:04:42.961 238:pos-tag                INFO     Total optimization steps = 140
2023-06-04 17:04:44.474 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:04:44.474 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:04:44.474 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:04:47.154 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:04:47.155 408:pos-tag                INFO     eval_acc = 0.0005
2023-06-04 17:04:47.155 408:pos-tag                INFO     eval_f1 = 0.0003
2023-06-04 17:04:47.155 408:pos-tag                INFO     eval_mcc = -0.0007
2023-06-04 17:04:47.155 408:pos-tag                INFO     eval_precision = 0.0007
2023-06-04 17:04:47.155 408:pos-tag                INFO     eval_recall = 0.0018
2023-06-04 17:04:47.155 300:pos-tag                INFO     ********************
2023-06-04 17:04:47.155 301:pos-tag                INFO     Best f1:0.0003
2023-06-04 17:04:47.155 302:pos-tag                INFO     ********************
2023-06-04 17:04:48.751 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:04:49.281 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:04:49.281 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:04:49.281 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:04:51.552 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:04:51.553 408:pos-tag                INFO     eval_acc = 0.0007
2023-06-04 17:04:51.553 408:pos-tag                INFO     eval_f1 = 0.0003
2023-06-04 17:04:51.553 408:pos-tag                INFO     eval_mcc = -0.0013
2023-06-04 17:04:51.553 408:pos-tag                INFO     eval_precision = 0.0011
2023-06-04 17:04:51.553 408:pos-tag                INFO     eval_recall = 0.0019
2023-06-04 17:04:51.553 300:pos-tag                INFO     ********************
2023-06-04 17:04:51.553 301:pos-tag                INFO     Best f1:0.0003
2023-06-04 17:04:51.553 302:pos-tag                INFO     ********************
2023-06-04 17:04:53.148 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:04:53.676 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:04:53.676 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:04:53.677 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:04:55.964 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:04:55.964 408:pos-tag                INFO     eval_acc = 0.0045
2023-06-04 17:04:55.964 408:pos-tag                INFO     eval_f1 = 0.0011
2023-06-04 17:04:55.964 408:pos-tag                INFO     eval_mcc = -0.0019
2023-06-04 17:04:55.964 408:pos-tag                INFO     eval_precision = 0.008
2023-06-04 17:04:55.964 408:pos-tag                INFO     eval_recall = 0.0022
2023-06-04 17:04:55.964 300:pos-tag                INFO     ********************
2023-06-04 17:04:55.965 301:pos-tag                INFO     Best f1:0.0011
2023-06-04 17:04:55.965 302:pos-tag                INFO     ********************
2023-06-04 17:04:57.565 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:04:58.092 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:04:58.092 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:04:58.092 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:05:00.376 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:05:00.376 408:pos-tag                INFO     eval_acc = 0.0286
2023-06-04 17:05:00.377 408:pos-tag                INFO     eval_f1 = 0.0058
2023-06-04 17:05:00.377 408:pos-tag                INFO     eval_mcc = 0.0057
2023-06-04 17:05:00.377 408:pos-tag                INFO     eval_precision = 0.0217
2023-06-04 17:05:00.377 408:pos-tag                INFO     eval_recall = 0.0072
2023-06-04 17:05:00.377 300:pos-tag                INFO     ********************
2023-06-04 17:05:00.377 301:pos-tag                INFO     Best f1:0.0058
2023-06-04 17:05:00.378 302:pos-tag                INFO     ********************
2023-06-04 17:05:02.063 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:05:02.064 322:pos-tag                INFO     ********************
2023-06-04 17:05:02.064 323:pos-tag                INFO     Best MCC:0.0057
2023-06-04 17:05:02.064 324:pos-tag                INFO     ********************
2023-06-04 17:05:03.682 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-mcc/model.bin
2023-06-04 17:05:04.224 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:05:04.225 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:05:04.225 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:05:06.521 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:05:06.521 408:pos-tag                INFO     eval_acc = 0.0783
2023-06-04 17:05:06.522 408:pos-tag                INFO     eval_f1 = 0.0144
2023-06-04 17:05:06.522 408:pos-tag                INFO     eval_mcc = 0.0394
2023-06-04 17:05:06.522 408:pos-tag                INFO     eval_precision = 0.0203
2023-06-04 17:05:06.522 408:pos-tag                INFO     eval_recall = 0.0187
2023-06-04 17:05:06.522 300:pos-tag                INFO     ********************
2023-06-04 17:05:06.522 301:pos-tag                INFO     Best f1:0.0144
2023-06-04 17:05:06.522 302:pos-tag                INFO     ********************
2023-06-04 17:05:08.060 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:05:08.061 322:pos-tag                INFO     ********************
2023-06-04 17:05:08.061 323:pos-tag                INFO     Best MCC:0.0394
2023-06-04 17:05:08.061 324:pos-tag                INFO     ********************
2023-06-04 17:05:09.753 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-mcc/model.bin
2023-06-04 17:05:10.301 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:05:10.301 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:05:10.301 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:05:12.588 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:05:12.588 408:pos-tag                INFO     eval_acc = 0.1272
2023-06-04 17:05:12.588 408:pos-tag                INFO     eval_f1 = 0.0218
2023-06-04 17:05:12.589 408:pos-tag                INFO     eval_mcc = 0.0756
2023-06-04 17:05:12.589 408:pos-tag                INFO     eval_precision = 0.0267
2023-06-04 17:05:12.589 408:pos-tag                INFO     eval_recall = 0.0281
2023-06-04 17:05:12.589 300:pos-tag                INFO     ********************
2023-06-04 17:05:12.589 301:pos-tag                INFO     Best f1:0.0218
2023-06-04 17:05:12.589 302:pos-tag                INFO     ********************
2023-06-04 17:05:14.080 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:05:14.080 322:pos-tag                INFO     ********************
2023-06-04 17:05:14.080 323:pos-tag                INFO     Best MCC:0.0756
2023-06-04 17:05:14.080 324:pos-tag                INFO     ********************
2023-06-04 17:05:15.861 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-mcc/model.bin
2023-06-04 17:05:16.400 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:05:16.401 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:05:16.401 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:05:18.678 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:05:18.679 408:pos-tag                INFO     eval_acc = 0.1868
2023-06-04 17:05:18.679 408:pos-tag                INFO     eval_f1 = 0.0286
2023-06-04 17:05:18.679 408:pos-tag                INFO     eval_mcc = 0.1265
2023-06-04 17:05:18.679 408:pos-tag                INFO     eval_precision = 0.0331
2023-06-04 17:05:18.679 408:pos-tag                INFO     eval_recall = 0.0349
2023-06-04 17:05:18.679 300:pos-tag                INFO     ********************
2023-06-04 17:05:18.679 301:pos-tag                INFO     Best f1:0.0286
2023-06-04 17:05:18.680 302:pos-tag                INFO     ********************
2023-06-04 17:05:20.180 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:05:20.180 322:pos-tag                INFO     ********************
2023-06-04 17:05:20.181 323:pos-tag                INFO     Best MCC:0.1265
2023-06-04 17:05:20.181 324:pos-tag                INFO     ********************
2023-06-04 17:05:21.944 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-mcc/model.bin
2023-06-04 17:05:22.488 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-04 17:05:22.488 359:pos-tag                INFO     Num examples = 293
2023-06-04 17:05:22.488 360:pos-tag                INFO     Batch size = 32
2023-06-04 17:05:24.761 406:pos-tag                INFO   ***** Eval results *****
2023-06-04 17:05:24.762 408:pos-tag                INFO     eval_acc = 0.2296
2023-06-04 17:05:24.762 408:pos-tag                INFO     eval_f1 = 0.0347
2023-06-04 17:05:24.762 408:pos-tag                INFO     eval_mcc = 0.1657
2023-06-04 17:05:24.762 408:pos-tag                INFO     eval_precision = 0.0421
2023-06-04 17:05:24.762 408:pos-tag                INFO     eval_recall = 0.0386
2023-06-04 17:05:24.762 300:pos-tag                INFO     ********************
2023-06-04 17:05:24.762 301:pos-tag                INFO     Best f1:0.0347
2023-06-04 17:05:24.762 302:pos-tag                INFO     ********************
2023-06-04 17:05:26.281 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/1/layer_12/checkpoint-best-f1/model.bin
2023-06-04 17:05:26.281 322:pos-tag                INFO     ********************
2023-06-04 17:05:26.281 323:pos-tag                INFO     Best MCC:0.1657
2023-06-04 17:05:26.281 324:pos-tag                INFO     ********************
