2023-06-05 19:50:58.482 676:pos-tag                DEBUG  main message
2023-06-05 19:50:58.483 682:pos-tag                WARNING device: cuda, n_gpu: 1
2023-06-05 19:50:59.236 702:pos-tag                INFO   Load Dataset
2023-06-05 19:50:59.238 706:pos-tag                INFO   Num of Class 233
2023-06-05 19:51:02.948 729:pos-tag                INFO   Finishing loading Dataset
2023-06-05 19:51:02.953 743:pos-tag                INFO   Random Initialize the encoder
2023-06-05 19:51:05.825 765:pos-tag                INFO   Probimg Model Parameters 179177
2023-06-05 19:51:05.826 766:pos-tag                INFO   Training/evaluation parameters Namespace(adam_epsilon=1e-08, config_name='microsoft/unixcoder-base', data_folder='../datasets/java250/postag/', dataset='postag', debug=False, device=device(type='cuda'), do_eval=True, do_random=True, do_test=True, do_train=True, epochs=5, eval_batch_size=32, evaluate_during_training=False, gradient_accumulation_steps=1, graph_type='ast', layer=3, learning_rate=0.001, max_code_length=512, max_grad_norm=1.0, max_steps=-1, model_name='unixcoder', model_name_or_path='microsoft/unixcoder-base', n_gpu=1, output_dir='./pos_res_java/random/saved_unixcodermodels/4/layer_3', posratio=0.5, seed=6, token_config='microsoft/unixcoder-base', train_batch_size=32, warmup_steps=0, weight_decay=0.0)
2023-06-05 19:51:05.827 185:pos-tag                INFO   save steps 2
2023-06-05 19:51:08.082 224:pos-tag                INFO   ***** Running training *****
2023-06-05 19:51:08.083 225:pos-tag                INFO     Num examples = 880
2023-06-05 19:51:08.083 226:pos-tag                INFO     Num Epochs = 5
2023-06-05 19:51:08.083 227:pos-tag                INFO     Instantaneous batch size per GPU = 32
2023-06-05 19:51:08.083 231:pos-tag                INFO     Total train batch size = 32
2023-06-05 19:51:08.083 235:pos-tag                INFO     Gradient Accumulation steps = 1
2023-06-05 19:51:08.083 238:pos-tag                INFO     Total optimization steps = 140
2023-06-05 19:51:09.755 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:09.756 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:09.756 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:12.699 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:12.699 408:pos-tag                INFO     eval_acc = 0.0021
2023-06-05 19:51:12.699 408:pos-tag                INFO     eval_f1 = 0.001
2023-06-05 19:51:12.700 408:pos-tag                INFO     eval_mcc = 0.0004
2023-06-05 19:51:12.700 408:pos-tag                INFO     eval_precision = 0.0017
2023-06-05 19:51:12.700 408:pos-tag                INFO     eval_recall = 0.0038
2023-06-05 19:51:12.700 300:pos-tag                INFO     ********************
2023-06-05 19:51:12.700 301:pos-tag                INFO     Best f1:0.001
2023-06-05 19:51:12.701 302:pos-tag                INFO     ********************
2023-06-05 19:51:14.303 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:14.304 322:pos-tag                INFO     ********************
2023-06-05 19:51:14.304 323:pos-tag                INFO     Best MCC:0.0004
2023-06-05 19:51:14.304 324:pos-tag                INFO     ********************
2023-06-05 19:51:15.873 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:16.459 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:16.460 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:16.460 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:18.941 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:18.942 408:pos-tag                INFO     eval_acc = 0.0039
2023-06-05 19:51:18.942 408:pos-tag                INFO     eval_f1 = 0.0011
2023-06-05 19:51:18.942 408:pos-tag                INFO     eval_mcc = 0.0009
2023-06-05 19:51:18.942 408:pos-tag                INFO     eval_precision = 0.0015
2023-06-05 19:51:18.942 408:pos-tag                INFO     eval_recall = 0.0039
2023-06-05 19:51:18.942 300:pos-tag                INFO     ********************
2023-06-05 19:51:18.942 301:pos-tag                INFO     Best f1:0.0011
2023-06-05 19:51:18.942 302:pos-tag                INFO     ********************
2023-06-05 19:51:20.490 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:20.490 322:pos-tag                INFO     ********************
2023-06-05 19:51:20.491 323:pos-tag                INFO     Best MCC:0.0009
2023-06-05 19:51:20.491 324:pos-tag                INFO     ********************
2023-06-05 19:51:22.040 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:22.616 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:22.616 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:22.617 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:25.099 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:25.100 408:pos-tag                INFO     eval_acc = 0.016
2023-06-05 19:51:25.100 408:pos-tag                INFO     eval_f1 = 0.0021
2023-06-05 19:51:25.100 408:pos-tag                INFO     eval_mcc = 0.0085
2023-06-05 19:51:25.100 408:pos-tag                INFO     eval_precision = 0.0025
2023-06-05 19:51:25.101 408:pos-tag                INFO     eval_recall = 0.0073
2023-06-05 19:51:25.101 300:pos-tag                INFO     ********************
2023-06-05 19:51:25.101 301:pos-tag                INFO     Best f1:0.0021
2023-06-05 19:51:25.101 302:pos-tag                INFO     ********************
2023-06-05 19:51:26.732 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:26.732 322:pos-tag                INFO     ********************
2023-06-05 19:51:26.732 323:pos-tag                INFO     Best MCC:0.0085
2023-06-05 19:51:26.732 324:pos-tag                INFO     ********************
2023-06-05 19:51:28.302 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:28.881 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:28.881 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:28.882 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:31.312 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:31.313 408:pos-tag                INFO     eval_acc = 0.0453
2023-06-05 19:51:31.313 408:pos-tag                INFO     eval_f1 = 0.0043
2023-06-05 19:51:31.313 408:pos-tag                INFO     eval_mcc = 0.0254
2023-06-05 19:51:31.314 408:pos-tag                INFO     eval_precision = 0.0046
2023-06-05 19:51:31.314 408:pos-tag                INFO     eval_recall = 0.0118
2023-06-05 19:51:31.314 300:pos-tag                INFO     ********************
2023-06-05 19:51:31.314 301:pos-tag                INFO     Best f1:0.0043
2023-06-05 19:51:31.314 302:pos-tag                INFO     ********************
2023-06-05 19:51:32.826 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:32.826 322:pos-tag                INFO     ********************
2023-06-05 19:51:32.826 323:pos-tag                INFO     Best MCC:0.0254
2023-06-05 19:51:32.827 324:pos-tag                INFO     ********************
2023-06-05 19:51:34.365 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:34.955 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:34.956 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:34.956 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:37.416 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:37.417 408:pos-tag                INFO     eval_acc = 0.0829
2023-06-05 19:51:37.417 408:pos-tag                INFO     eval_f1 = 0.008
2023-06-05 19:51:37.418 408:pos-tag                INFO     eval_mcc = 0.0462
2023-06-05 19:51:37.418 408:pos-tag                INFO     eval_precision = 0.0095
2023-06-05 19:51:37.418 408:pos-tag                INFO     eval_recall = 0.0189
2023-06-05 19:51:37.418 300:pos-tag                INFO     ********************
2023-06-05 19:51:37.418 301:pos-tag                INFO     Best f1:0.008
2023-06-05 19:51:37.418 302:pos-tag                INFO     ********************
2023-06-05 19:51:39.085 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:39.086 322:pos-tag                INFO     ********************
2023-06-05 19:51:39.086 323:pos-tag                INFO     Best MCC:0.0462
2023-06-05 19:51:39.086 324:pos-tag                INFO     ********************
2023-06-05 19:51:40.737 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:41.311 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:41.312 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:41.312 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:43.792 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:43.793 408:pos-tag                INFO     eval_acc = 0.1219
2023-06-05 19:51:43.793 408:pos-tag                INFO     eval_f1 = 0.0179
2023-06-05 19:51:43.793 408:pos-tag                INFO     eval_mcc = 0.0759
2023-06-05 19:51:43.793 408:pos-tag                INFO     eval_precision = 0.0207
2023-06-05 19:51:43.793 408:pos-tag                INFO     eval_recall = 0.033
2023-06-05 19:51:43.794 300:pos-tag                INFO     ********************
2023-06-05 19:51:43.794 301:pos-tag                INFO     Best f1:0.0179
2023-06-05 19:51:43.794 302:pos-tag                INFO     ********************
2023-06-05 19:51:45.366 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:45.367 322:pos-tag                INFO     ********************
2023-06-05 19:51:45.367 323:pos-tag                INFO     Best MCC:0.0759
2023-06-05 19:51:45.367 324:pos-tag                INFO     ********************
2023-06-05 19:51:46.970 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:47.542 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:47.542 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:47.542 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:49.982 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:49.982 408:pos-tag                INFO     eval_acc = 0.1493
2023-06-05 19:51:49.983 408:pos-tag                INFO     eval_f1 = 0.0305
2023-06-05 19:51:49.983 408:pos-tag                INFO     eval_mcc = 0.1011
2023-06-05 19:51:49.983 408:pos-tag                INFO     eval_precision = 0.0462
2023-06-05 19:51:49.983 408:pos-tag                INFO     eval_recall = 0.0435
2023-06-05 19:51:49.983 300:pos-tag                INFO     ********************
2023-06-05 19:51:49.983 301:pos-tag                INFO     Best f1:0.0305
2023-06-05 19:51:49.983 302:pos-tag                INFO     ********************
2023-06-05 19:51:51.587 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:51.588 322:pos-tag                INFO     ********************
2023-06-05 19:51:51.588 323:pos-tag                INFO     Best MCC:0.1011
2023-06-05 19:51:51.588 324:pos-tag                INFO     ********************
2023-06-05 19:51:53.184 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:51:53.750 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:51:53.751 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:51:53.751 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:51:56.191 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:51:56.197 408:pos-tag                INFO     eval_acc = 0.187
2023-06-05 19:51:56.197 408:pos-tag                INFO     eval_f1 = 0.0432
2023-06-05 19:51:56.197 408:pos-tag                INFO     eval_mcc = 0.1393
2023-06-05 19:51:56.197 408:pos-tag                INFO     eval_precision = 0.062
2023-06-05 19:51:56.198 408:pos-tag                INFO     eval_recall = 0.053
2023-06-05 19:51:56.198 300:pos-tag                INFO     ********************
2023-06-05 19:51:56.198 301:pos-tag                INFO     Best f1:0.0432
2023-06-05 19:51:56.198 302:pos-tag                INFO     ********************
2023-06-05 19:51:57.829 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:51:57.830 322:pos-tag                INFO     ********************
2023-06-05 19:51:57.830 323:pos-tag                INFO     Best MCC:0.1393
2023-06-05 19:51:57.830 324:pos-tag                INFO     ********************
2023-06-05 19:51:59.430 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:52:00.033 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:52:00.033 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:52:00.033 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:52:02.533 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:52:02.533 408:pos-tag                INFO     eval_acc = 0.2181
2023-06-05 19:52:02.533 408:pos-tag                INFO     eval_f1 = 0.0528
2023-06-05 19:52:02.534 408:pos-tag                INFO     eval_mcc = 0.1713
2023-06-05 19:52:02.534 408:pos-tag                INFO     eval_precision = 0.0856
2023-06-05 19:52:02.534 408:pos-tag                INFO     eval_recall = 0.0595
2023-06-05 19:52:02.534 300:pos-tag                INFO     ********************
2023-06-05 19:52:02.534 301:pos-tag                INFO     Best f1:0.0528
2023-06-05 19:52:02.535 302:pos-tag                INFO     ********************
2023-06-05 19:52:04.216 317:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-f1/model.bin
2023-06-05 19:52:04.217 322:pos-tag                INFO     ********************
2023-06-05 19:52:04.217 323:pos-tag                INFO     Best MCC:0.1713
2023-06-05 19:52:04.217 324:pos-tag                INFO     ********************
2023-06-05 19:52:05.863 339:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_unixcodermodels/4/layer_3/checkpoint-best-mcc/model.bin
2023-06-05 19:52:06.443 358:pos-tag                INFO   ***** Running evaluation *****
2023-06-05 19:52:06.443 359:pos-tag                INFO     Num examples = 293
2023-06-05 19:52:06.443 360:pos-tag                INFO     Batch size = 32
2023-06-05 19:52:08.958 406:pos-tag                INFO   ***** Eval results *****
2023-06-05 19:52:08.959 408:pos-tag                INFO     eval_acc = 0.2612
2023-06-05 19:52:08.959 408:pos-tag                INFO     eval_f1 = 0.0662
2023-06-05 19:52:08.959 408:pos-tag                INFO     eval_mcc = 0.2164
2023-06-05 19:52:08.959 408:pos-tag                INFO     eval_precision = 0.0964
